DEBUG: [May-07 16:48:13,769] client.MessageTracing.sent - Sent request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
DEBUG: [May-07 16:48:14,042] client.MessageTracing.received - Received response [SaajSoapMessage {http://schemas.xmlsoap.org/soap/envelope/}Fault] for request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
DEBUG: [May-07 16:48:14,042] client.core.WebServiceTemplate - Received Fault message for request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
INFO : [May-07 16:49:18,159] context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@e4ac00c: startup date [Wed May 07 16:49:18 EDT 2014]; root of context hierarchy
INFO : [May-07 16:49:18,493] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 16:49:18,493] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
INFO : [May-07 16:49:18,503] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 16:49:18,504] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
DEBUG: [May-07 16:49:18,568] client.core.WebServiceTemplate - Opening [org.springframework.ws.transport.http.HttpUrlConnection@7ae35bb7] to [http://localhost:8180/xdrwebservice/Dispatcher/XDRService]
DEBUG: [May-07 16:49:18,639] client.MessageTracing.sent - Sent request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
DEBUG: [May-07 16:49:18,909] client.MessageTracing.received - Received response [SaajSoapMessage {http://schemas.xmlsoap.org/soap/envelope/}Fault] for request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
DEBUG: [May-07 16:49:18,909] client.core.WebServiceTemplate - Received Fault message for request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
INFO : [May-07 16:49:34,246] context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@4afb6354: startup date [Wed May 07 16:49:34 EDT 2014]; root of context hierarchy
INFO : [May-07 16:49:34,622] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 16:49:34,623] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
INFO : [May-07 16:49:34,631] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 16:49:34,631] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
DEBUG: [May-07 16:49:44,320] client.core.WebServiceTemplate - Opening [org.springframework.ws.transport.http.HttpUrlConnection@7f6b321b] to [http://localhost:8180/xdrwebservice/Dispatcher/XDRService]
DEBUG: [May-07 16:49:44,460] client.MessageTracing.sent - Sent request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
DEBUG: [May-07 16:49:44,630] client.MessageTracing.received - Received response [SaajSoapMessage {http://schemas.xmlsoap.org/soap/envelope/}Fault] for request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
DEBUG: [May-07 16:49:44,631] client.core.WebServiceTemplate - Received Fault message for request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
INFO : [May-07 17:01:42,062] context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@6bdab91: startup date [Wed May 07 17:01:42 EDT 2014]; root of context hierarchy
INFO : [May-07 17:01:42,461] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 17:01:42,462] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
INFO : [May-07 17:01:42,474] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 17:01:42,474] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
DEBUG: [May-07 17:01:42,565] client.core.WebServiceTemplate - Opening [org.springframework.ws.transport.http.HttpUrlConnection@7ae35bb7] to [http://localhost:8180/xdrwebservice/Dispatcher/XDRService]
DEBUG: [May-07 17:01:42,653] client.MessageTracing.sent - Sent request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
DEBUG: [May-07 17:01:43,947] client.MessageTracing.received - Received response [SaajSoapMessage {urn:oasis:names:tc:ebxml-regrep:xsd:rs:3.0}RegistryResponse] for request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
INFO : [May-07 17:10:04,351] context.support.ClassPathXmlApplicationContext - Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@e4ac00c: startup date [Wed May 07 17:10:04 EDT 2014]; root of context hierarchy
INFO : [May-07 17:10:04,730] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 17:10:04,730] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
INFO : [May-07 17:10:04,737] soap.saaj.SaajSoapMessageFactory - Creating SAAJ 1.3 MessageFactory with SOAP 1.1 Protocol
DEBUG: [May-07 17:10:04,738] soap.saaj.SaajSoapMessageFactory - Using MessageFactory class [com.sun.xml.internal.messaging.saaj.soap.ver1_1.SOAPMessageFactory1_1Impl]
DEBUG: [May-07 17:10:04,805] client.core.WebServiceTemplate - Opening [org.springframework.ws.transport.http.HttpUrlConnection@7ae35bb7] to [http://localhost:8180/xdrvalidator/Dispatcher/XDRService]
DEBUG: [May-07 17:10:04,881] client.MessageTracing.sent - Sent request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
DEBUG: [May-07 17:10:05,717] client.MessageTracing.received - Received response [SaajSoapMessage {urn:oasis:names:tc:ebxml-regrep:xsd:rs:3.0}RegistryResponse] for request [SaajSoapMessage {urn:ihe:iti:xds-b:2007}ProvideAndRegisterDocumentSetRequest]
